MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54325.516203571766	9.510558007230924e-15	6.187000294115423e-16	2.3688063810752215e-15	3.2516889102629116e-17	4.37872869809612e-15	1.1688405341103293e-16	nan	nan	6.759486577934613e-15	1.9056764700620617e-16	nan	nan	nan	nan
54325.56620357177	9.653089344190348e-15	6.150361943481241e-16	2.4031933267812046e-15	3.230157078264489e-17	4.447327081186326e-15	1.1610729652702618e-16	nan	nan	6.8600839166299106e-15	1.9060695006682296e-16	nan	nan	nan	nan
54325.61620357177	9.796468287920941e-15	6.112857696245947e-16	2.4377673026610348e-15	3.208342487908953e-17	4.516310484335248e-15	1.1532416755518024e-16	nan	nan	6.961285964187824e-15	1.9059498162406283e-16	nan	nan	nan	nan
54325.666203571775	9.940690306985417e-15	6.074565794003021e-16	2.472527490607033e-15	3.1862750540164474e-17	4.5856811383825754e-15	1.1453515018351367e-16	nan	nan	7.063093199091201e-15	1.9053204904517216e-16	nan	nan	nan	nan
54325.71620357178	1.0085750929763497e-14	6.035592797874258e-16	2.5074730729236115e-15	3.1640050896414156e-17	4.6554412747844015e-15	1.137408713721639e-16	nan	nan	7.165506098035298e-15	1.904185570116285e-16	nan	nan	nan	nan
54325.76620357178	1.0231645743642787e-14	5.996071275273983e-16	2.5426032323290244e-15	3.1416034227665897e-17	4.725593125686366e-15	1.1294210122760393e-16	nan	nan	7.268524900257996e-15	1.9025471505885016e-16	nan	nan	nan	nan
54325.81620357178	1.0378369118972707e-14	5.956097677337053e-16	2.5779171519412246e-15	3.1191612288744807e-17	4.796138923894917e-15	1.1213975215739313e-16	nan	nan	7.372149435924283e-15	1.900403260613315e-16	nan	nan	nan	nan
54325.866203571786	1.05259095556185e-14	5.915514646443271e-16	2.6134140152914806e-15	3.096789546385738e-17	4.867080902845971e-15	1.1133487730746394e-16	nan	nan	7.476379495720288e-15	1.8977524936428334e-16	nan	nan	nan	nan
54325.91620357179	1.0674253888139201e-14	5.874108425702109e-16	2.6490930063079705e-15	3.074618438715771e-17	4.9384212966989406e-15	1.1052866814485214e-16	nan	nan	7.581214871477432e-15	1.8945945570038789e-16	nan	nan	nan	nan
54325.96620357179	1.0823389004985672e-14	5.83169253499523e-16	2.684953309320841e-15	3.052795758424407e-17	5.010162300432123e-15	1.0972241628634343e-16	nan	nan	7.686655356064235e-15	1.8909303157271804e-16	nan	nan	nan	nan
