MJD,Mag,Mag_err,band,Instr
56529.031,16.287,0.029,Bessell_I,LCOGT
56529.37,18.099,0.015,sdss_g',LCOGT
56529.376,17.386,0.013,sdss_r',LCOGT
56529.379,17.088,0.018,sdss_i',LCOGT
56529.383,16.305,0.035,sdss_z',LCOGT
56530.001,18.512,0.043,Bessell_B,LCOGT
56530.007,17.539,0.024,Bessell_V,LCOGT
56530.01,17.079,0.026,sdss_i',LCOGT
56530.011,16.979,0.03,Bessell_R,LCOGT
56530.013,16.25,0.042,sdss_z',LCOGT
56530.014,16.347,0.036,Bessell_I,LCOGT
56531.097,18.058,0.031,sdss_g',LCOGT
56531.103,17.388,0.026,sdss_r',LCOGT
56531.107,17.157,0.034,sdss_i',LCOGT
56531.19,18.97,0.05,Bessell_B,Nickel
56531.19,16.43,0.01,Bessell_I,Nickel
56531.19,17.07,0.01,Bessell_R,Nickel
56531.19,17.65,0.02,Bessell_V,Nickel
56533.144,17.126,0.02,sdss_i',P60
56533.145,17.428,0.02,sdss_r',P60
56533.146,18.197,0.02,sdss_g',P60
56535.99,18.163,0.012,sdss_g',LCOGT
56535.996,17.485,0.016,sdss_r',LCOGT
56536.001,17.131,0.05,sdss_i',LCOGT
56537.162,17.249,0.02,sdss_i',P60
56537.163,17.53,0.01,sdss_r',P60
56537.173,18.232,0.01,sdss_g',P60
56539.72,18.276,0.025,sdss_g',LCOGT
56539.726,17.608,0.017,sdss_r',LCOGT
56539.729,17.305,0.015,sdss_i',LCOGT
56540.72,18.187,0.02,sdss_g',LCOGT
56540.726,17.56,0.019,sdss_r',LCOGT
56540.73,17.263,0.021,sdss_i',LCOGT
56541.164,17.289,0.02,sdss_i',P60
56541.165,17.6,0.01,sdss_r',P60
56542.089,18.294,0.028,sdss_g',LCOGT
56542.095,17.672,0.037,sdss_r',LCOGT
56542.099,17.32,0.033,sdss_i',LCOGT
56542.146,17.331,0.02,sdss_i',P60
56542.146,17.633,0.02,sdss_r',P60
56542.147,18.372,0.02,sdss_g',P60
56544.722,18.269,0.028,sdss_g',LCOGT
56544.729,17.699,0.021,sdss_r',LCOGT
56544.733,17.386,0.02,sdss_i',LCOGT
56675.58,20.6,0.17,Bessell_B,Nickel
56675.58,19.16,0.06,Bessell_I,Nickel
56675.58,19.75,0.06,Bessell_R,Nickel
56675.58,20.94,0.17,Bessell_V,Nickel
56685.228,21.093,0.043,sdss_g',NOT
56685.24,20.349,0.08,sdss_r',NOT
56698.224,21.377,0.077,sdss_g',NOT
56698.239,20.576,0.094,sdss_r',NOT
56721.174,20.07,0.15,sdss_i',NOT
56724.53,20.51,0.09,Bessell_R,Nickel
56738.49,20.48,0.19,Bessell_I,Nickel
